index	country	country_code	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	last.observed
180	Turkmenistan	795	5.995	6.015	6.752	6.343	6.187	5.324	4.79	4.55	4.03	3.03	2.755	2.499	2.3435	2.2123	2.1055	2.0182	1.9473	1.893	1.8493	1.8207	1.8002	1.7899	1.7851	1.7864	1.7894	1.7951	1.8022	1.8093	1.8169	1.8258	2013
181	Uganda	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9126	5.436	4.9788	4.551	4.1558	3.8081	3.5056	3.2421	3.0272	2.8474	2.6889	2.5529	2.4319	2.3275	2.2379	2.1617	2.097	2.047	2013
182	Ukraine	804	2.81	2.7	2.1346	2.0204	2.0789	1.9798	2.004	1.8968	1.6208	1.2404	1.1455	1.3828	1.4889	1.5193	1.5709	1.6165	1.6547	1.6878	1.7161	1.7406	1.76	1.7788	1.7936	1.8061	1.8174	1.8263	1.8355	1.8448	1.8495	1.8562	2013
183	TFYR Macedonia	807	5.0572	4.1429	3.6509	3.4437	2.8593	2.5402	2.454	2.2729	2.1215	1.8262	1.6375	1.46	1.5144	1.428	1.463	1.5036	1.5429	1.5814	1.6176	1.6488	1.6778	1.7023	1.7254	1.7466	1.7647	1.7801	1.7935	1.8056	1.8162	1.8253	2013
184	Egypt	818	6.624	6.65	6.55	6.2	5.7	5.6	5.4	4.97	4.05	3.5	3.15	2.981	3.5	2.6226	2.4833	2.3666	2.2655	2.1755	2.0988	2.0339	1.977	1.9331	1.9028	1.8797	1.8628	1.8507	1.8425	1.8399	1.8366	1.8376	2013
185	United Kingdom	826	2.18	2.49	2.81	2.57	2.01	1.73	1.775	1.835	1.775	1.735	1.655	1.8812	1.9161	1.8877	1.8915	1.8931	1.8948	1.8959	1.8974	1.8987	1.9008	1.9022	1.9032	1.9047	1.9051	1.9066	1.9083	1.909	1.9096	1.91	2013
186	Channel Islands	830	2.056	2.222	2.562	2.362	1.858	1.523	1.439	1.45	1.461	1.4	1.414	1.42	1.4564	1.4874	1.5157	1.541	1.5631	1.5828	1.6006	1.6172	1.6328	1.6474	1.6589	1.6695	1.6808	1.691	1.6978	1.7071	1.7157	1.722	2013
187	United Republic of Tanzania	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.2395	4.9096	4.5929	4.2911	4.0174	3.7664	3.5388	3.3379	3.1581	3.0013	2.8619	2.7394	2.633	2.5389	2.4436	2.3588	2.2823	2.2166	2013
188	United States of America	840	3.33	3.6745	3.3959	2.5791	2.0178	1.7718	1.8044	1.9146	2.0297	1.9965	2.042	2.059	1.8902	1.9766	1.9792	1.9819	1.9837	1.986	1.9869	1.9872	1.9886	1.9883	1.99	1.9902	1.9914	1.9896	1.9897	1.9906	1.991	1.9915	2013
189	United States Virgin Islands	850	5.2509	5.4926	5.6723	5.5225	4.6577	3.4884	2.9711	3.0216	2.7945	2.1936	2.1397	2.4359	2.3	2.3844	2.2929	2.2127	2.1448	2.0902	2.0443	2.0101	1.9854	1.9635	1.9502	1.9399	1.9323	1.9277	1.924	1.9215	1.9218	1.9212	2013
190	Burkina Faso	854	6.1035	6.243	6.35	6.5627	6.7	7.0182	7.1722	7.0658	6.932	6.7293	6.4306	6.0789	5.6462	5.217	4.809	4.4248	4.0755	3.7601	3.4871	3.2514	3.0489	2.8755	2.7309	2.598	2.4833	2.3812	2.2912	2.2125	2.1453	2.0888	2013
191	Uruguay	858	2.73	2.83	2.9	2.8	3	2.89	2.57	2.53	2.49	2.3	2.2	2.12	2.04	1.98	1.92	1.87	1.83	1.8	1.77	1.74	1.72	1.7	1.73	1.76	1.78	1.81	1.84	1.86	1.89	1.91	2013
192	Uzbekistan	860	5.0547	5.0547	5.2947	5.5964	5.6536	5.2046	4.7146	4.4001	3.7688	2.9932	2.5126	2.476	2.48	2.1829	2.0698	1.9793	1.907	1.8534	1.816	1.7925	1.7787	1.7731	1.7723	1.777	1.7848	1.7927	1.8011	1.8104	1.818	1.8261	2013
193	Venezuela (Bolivarian Republic of)	862	6.4585	6.4585	6.657	5.9045	4.941	4.4685	3.957	3.6485	3.25	2.9415	2.723	2.547	2.4047	2.2776	2.1679	2.0743	1.9968	1.9397	1.8933	1.8581	1.8345	1.8228	1.8177	1.8141	1.8134	1.8159	1.8217	1.8264	1.8316	1.8386	2013
194	Samoa	882	7.6297	7.6297	7.6291	7.3526	6.9977	6.4889	5.9103	5.3533	4.9223	4.6203	4.4359	4.4675	4.1643	3.8974	3.6591	3.4517	3.2704	3.1114	2.9648	2.8367	2.7196	2.6113	2.5129	2.4158	2.3307	2.2524	2.1799	2.1201	2.0679	2.028	2013
195	Yemen	887	7.35	7.35	7.45	7.7	7.9	8.5	8.8	8.8	8.2	6.8	5.95	5.1	4.35	3.5722	3.1484	2.8217	2.5647	2.3498	2.17	2.0255	1.9079	1.8179	1.756	1.7151	1.6919	1.689	1.6929	1.7042	1.7208	1.7375	2013
196	Zambia	894	6.75	6.9	7.15	7.4	7.425	7.375	7	6.675	6.35	6.15	6.05	5.95	5.55	5.3	5.1	4.8	4.5	4.3	4.1	3.9	3.7	3.5	3.3	3.1	2.9	2.7	2.55	2.4	2.3	2.2	2013
